sales_id,name,year,km_driven,selling_price,fuel,transmission,mileage,engine,max_power,torque,seats
1,Maruti Swift Dzire VDI,2014,145500,450000,Diesel,Manual,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
2,Skoda Rapid 1.5 TDI Ambition,2014,120000,370000,Diesel,Manual,21.14 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm,5
3,Honda City 2017-2020 EXi,2006,140000,158000,Petrol,Manual,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5
4,Hyundai i20 Sportz Diesel,2010,127000,225000,Diesel,Manual,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5
5,Maruti Swift VXI BSIII,2007,120000,130000,Petrol,Manual,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)",5
6,Hyundai Xcent 1.2 VTVT E Plus,2017,45000,440000,Petrol,Manual,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5
7,Maruti Wagon R LXI DUO BSIII,2007,175000,96000,LPG,Manual,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)",5
8,Maruti 800 DX BSII,2001,5000,45000,Petrol,Manual,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4
9,Toyota Etios VXD,2011,90000,350000,Diesel,Manual,23.59 kmpl,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm,5
10,Ford Figo Diesel Celebration Edition,2013,169000,200000,Diesel,Manual,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm,5
11,Renault Duster 110PS Diesel RxL,2014,68000,500000,Diesel,Manual,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm,5
12,Maruti Zen LX,2005,100000,92000,Petrol,Manual,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm,5
13,Maruti Swift Dzire VDi,2009,140000,280000,Diesel,Manual,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5
14,Maruti Wagon R LXI Minor,2009,90000,180000,Petrol,Manual,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5
15,Mahindra KUV 100 mFALCON G80 K8 5str,2016,40000,400000,Petrol,Manual,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,5
16,Maruti Ertiga SHVS VDI,2016,70000,778000,Diesel,Manual,24.52 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,7
17,Hyundai i20 1.4 CRDi Asta,2012,53000,500000,Diesel,Manual,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5
18,Maruti Alto LX,2002,80000,150000,Petrol,Manual,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5
19,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,100000,680000,Diesel,Manual,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5
20,Mahindra Verito 1.5 D4 BSIII,2011,100000,174000,Diesel,Manual,21.0 kmpl,1461 CC,64.1 bhp,160Nm@ 2000rpm,5
21,Honda WR-V i-DTEC VX,2017,50000,950000,Diesel,Manual,25.5 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
22,Maruti Swift Dzire ZDI,2015,40000,525000,Diesel,Manual,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
23,Maruti SX4 ZDI,2012,72000,600000,Diesel,Manual,21.5 kmpl,1248 CC,88.8 bhp,200Nm@ 1750rpm,5
24,Tata Tigor 2017-2020 XZ,2018,35000,500000,Petrol,Manual,20.3 kmpl,1199 CC,83.81 bhp,114Nm@ 3500rpm,5
25,Maruti Baleno Delta 1.2,2016,45000,575000,Petrol,Manual,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5
26,Maruti Alto 800 LXI,2017,28000,275000,Petrol,Manual,24.7 kmpl,796 CC,47.3 bhp,69Nm@ 3500rpm,5
27,Chevrolet Enjoy TCDi LTZ 7 Seater,2013,70000,300000,Diesel,Manual,18.2 kmpl,1248 CC,73.8 bhp,172.5Nm@ 1750rpm,7
28,Maruti Wagon R LXI Minor,2009,120000,220000,Petrol,Manual,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5
29,Maruti Omni E MPI STD BS IV,2018,25000,254999,Petrol,Manual,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,8
30,Maruti Vitara Brezza LDi Option,2017,70000,670000,Diesel,Manual,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
31,Maruti Omni 8 Seater BSIV,2012,35000,150000,Petrol,Manual,14.0 kmpl,796 CC,35 bhp,6.1kgm@ 3000rpm,5
32,Hyundai i20 1.2 Asta Dual Tone,2018,2388,730000,Petrol,Manual,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5
33,Maruti Vitara Brezza LDi,2017,16200,650000,Diesel,Manual,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
34,Maruti Alto 800 CNG LXI Optional,2019,10000,330000,CNG,Manual,33.44 km/kg,796 CC,40.3 bhp,60Nm@ 3500rpm,4
35,Maruti Alto K10 VXI Airbag,2019,15000,366000,Petrol,Manual,23.95 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5
36,Hyundai Verna VTVT 1.6 SX Option,2019,5000,1149000,Petrol,Manual,17.0 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5
37,Datsun GO D,2016,42000,150000,Petrol,Manual,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5
38,Tata Safari DICOR 2.2 LX 4x2,2011,60000,425000,Diesel,Manual,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7
39,Maruti 800 Std,2012,76000,150000,Petrol,Manual,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4
40,Jeep Compass 1.4 Limited Plus BSIV,2019,5000,2100000,Petrol,Automatic,16.0 kmpl,1368 CC,160.77 bhp,250Nm@ 1750-2500rpm,5
41,Honda City i VTEC VX,2018,28900,925000,Petrol,Manual,17.8 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5
42,Honda City V MT,2013,86300,425000,Petrol,Manual,16.8 kmpl,1497 CC,116.3 bhp,146Nm@ 4800rpm,5
43,Maruti Swift Dzire VXi AT,2018,23300,675000,Petrol,Automatic,18.5 kmpl,1197 CC,83.14 bhp,115Nm@ 4000rpm,5
44,Maruti Vitara Brezza VDi,2018,32600,819999,Diesel,Manual,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5
45,Maruti Alto K10 VXI,2018,10300,390000,Petrol,Manual,23.95 kmpl,998 CC,67.05 bhp,90Nm@ 3500rpm,5
46,Toyota Fortuner 4x4 MT,2014,77000,1500000,Diesel,Manual,12.55 kmpl,2982 CC,168.5 bhp,343Nm@ 1400-3400rpm,7
47,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,99000,700000,Diesel,Manual,12.99 kmpl,2494 CC,100 bhp,200Nm@ 1400-3400rpm,7
48,Mercedes-Benz B Class B180,2014,27800,1450000,Diesel,Automatic,14.8 kmpl,2143 CC,120.7 bhp,200Nm@ 1250-4000rpm,5
49,Honda Amaze S Diesel,2015,49800,425000,Diesel,Manual,24.7 kmpl,1498 CC,98.63 bhp,200Nm@ 1750rpm,5
50,Mitsubishi Pajero Sport 4X4,2013,151000,1090000,Diesel,Manual,13.5 kmpl,2477 CC,175.56 bhp,400Nm@ 2000-2500rpm,7
51,Honda City i DTEC S,2015,54700,600000,Diesel,Manual,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
52,Maruti Ciaz Zeta,2018,64000,850000,Petrol,Manual,20.65 kmpl,1462 CC,103.25 bhp,138Nm@ 4400rpm,5
53,Honda Jazz VX Diesel,2015,63000,525000,Diesel,Manual,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5
54,Toyota Innova Crysta 2.8 ZX AT BSIV,2016,127700,1650000,Diesel,Automatic,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7
55,Toyota Innova 2.5 G (Diesel) 7 Seater,2016,99000,950000,Diesel,Manual,12.99 kmpl,2494 CC,100.6 bhp,200Nm@ 1200-3600rpm,7
56,Audi A6 2.0 TDI Technology,2013,33900,1750000,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,380Nm@ 1750-2500rpm,5
57,Toyota Corolla Altis 1.8 VL CVT,2018,25000,1590000,Petrol,Automatic,14.28 kmpl,1798 CC,138.03 bhp,173Nm@ 4000rpm,5
58,Audi A6 2.0 TDI  Design Edition,2013,50000,1689999,Diesel,Automatic,18.53 kmpl,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5
59,Mercedes-Benz New C-Class 220 CDI AT,2013,59000,1425000,Diesel,Automatic,14.84 kmpl,2143 CC,170 bhp,400Nm@ 1400-2800rpm,5
60,Tata Manza ELAN Quadrajet BS IV,2011,120000,265000,Diesel,Manual,21.12 kmpl,1248 CC,88.8 bhp,200Nm@ 1750-3000rpm,5
61,Hyundai i10 Magna,2011,110000,190000,Petrol,Manual,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5
62,Hyundai i20 Asta 1.4 CRDi,2013,60000,425000,Diesel,Manual,21.27 kmpl,1396 CC,88.76 bhp,219.6Nm@ 1500-2750rpm,5
63,Maruti Swift Dzire ZDI,2015,147000,630000,Diesel,Manual,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5
64,Ford Figo 1.2P Titanium MT,2017,25000,600000,Petrol,Manual,18.16 kmpl,1196 CC,86.8 bhp,112Nm@ 4000rpm,5
65,Maruti Baleno Delta 1.2,2019,30000,650000,Petrol,Manual,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5
