seller_type,owner,sales_id
Individual,First Owner,1
Individual,Second Owner,2
Individual,Third Owner,3
Individual,First Owner,4
Individual,First Owner,5
Individual,First Owner,6
Individual,First Owner,7
Individual,Second Owner,8
Individual,First Owner,9
Individual,First Owner,10
Individual,Second Owner,11
Individual,Second Owner,12
Individual,Second Owner,13
Individual,Second Owner,14
Individual,First Owner,15
Individual,Second Owner,16
Individual,Second Owner,17
Individual,Second Owner,18
Individual,First Owner,19
Individual,Second Owner,20
Individual,First Owner,21
Individual,First Owner,22
Individual,First Owner,23
Individual,First Owner,24
Individual,First Owner,25
Individual,First Owner,26
Individual,First Owner,27
Individual,First Owner,28
Individual,First Owner,29
Individual,First Owner,30
Individual,Second Owner,31
Individual,First Owner,32
Individual,First Owner,33
Individual,Second Owner,34
Individual,First Owner,35
Individual,First Owner,36
Individual,First Owner,37
Individual,Second Owner,38
Individual,First Owner,39
Individual,First Owner,40
Dealer,First Owner,41
Dealer,First Owner,42
Dealer,First Owner,43
Dealer,First Owner,44
Dealer,First Owner,45
Dealer,First Owner,46
Dealer,First Owner,47
Dealer,Second Owner,48
Dealer,First Owner,49
Dealer,First Owner,50
Dealer,First Owner,51
Dealer,First Owner,52
Dealer,First Owner,53
Dealer,Second Owner,54
Dealer,First Owner,55
Dealer,Second Owner,56
Dealer,First Owner,57
Dealer,First Owner,58
Dealer,First Owner,59
Individual,First Owner,60
Individual,Third Owner,61
Individual,First Owner,62
Individual,Second Owner,63
Individual,Third Owner,64
Individual,First Owner,65
Individual,First Owner,66
Individual,First Owner,67
Individual,First Owner,68
Individual,First Owner,69
Individual,First Owner,70
Individual,First Owner,71
Individual,Second Owner,72
Individual,First Owner,73
Individual,Second Owner,74
Individual,Second Owner,75
Individual,Second Owner,76
Individual,First Owner,77
Individual,First Owner,78
Individual,First Owner,79
Individual,Second Owner,80
Dealer,First Owner,81
Dealer,First Owner,82
Dealer,First Owner,83
Dealer,First Owner,84
Dealer,First Owner,85
Dealer,First Owner,86
Dealer,First Owner,87
Dealer,First Owner,88
Dealer,Second Owner,89
Dealer,Second Owner,90
Dealer,First Owner,91
Dealer,First Owner,92
Individual,First Owner,93
Dealer,First Owner,94
Dealer,Third Owner,95
Individual,First Owner,96
Dealer,Second Owner,97
Individual,Second Owner,98
Individual,First Owner,99
Individual,Third Owner,100
Individual,First Owner,101
Individual,Second Owner,102
Individual,Second Owner,103
Individual,First Owner,104
Individual,First Owner,105
Individual,First Owner,106
Individual,First Owner,107
Individual,First Owner,108
Individual,Second Owner,109
Individual,First Owner,110
Individual,Second Owner,111
Individual,First Owner,112
Individual,First Owner,113
Individual,First Owner,114
Individual,First Owner,115
Individual,Third Owner,116
Individual,First Owner,117
Individual,First Owner,118
Individual,Fourth & Above Owner,119
Individual,First Owner,120
Individual,Second Owner,121
Individual,Fourth & Above Owner,122
Individual,Second Owner,123
Individual,Second Owner,124
Individual,Second Owner,125
Dealer,First Owner,126
Dealer,First Owner,127
Dealer,First Owner,128
Dealer,First Owner,129
Individual,First Owner,130
Dealer,First Owner,131
Dealer,First Owner,132
Dealer,First Owner,133
Dealer,First Owner,134
Dealer,First Owner,135
Dealer,First Owner,136
Dealer,First Owner,137
Dealer,First Owner,138
Dealer,First Owner,139
Dealer,First Owner,140
Dealer,First Owner,141
Dealer,First Owner,142
Dealer,First Owner,143
Dealer,Second Owner,144
Dealer,First Owner,145
Dealer,First Owner,146
Dealer,First Owner,147
Individual,First Owner,148
Individual,First Owner,149
Dealer,First Owner,150
Dealer,First Owner,151
Dealer,First Owner,152
Dealer,First Owner,153
Dealer,First Owner,154
Dealer,First Owner,155
Dealer,First Owner,156
Dealer,First Owner,157
Dealer,Second Owner,158
Dealer,First Owner,159
Dealer,First Owner,160
Dealer,First Owner,161
Dealer,First Owner,162
Dealer,First Owner,163
Individual,First Owner,164
Individual,First Owner,165
Individual,Second Owner,166
Individual,First Owner,167
Individual,First Owner,168
Individual,First Owner,169
Individual,Second Owner,170
Individual,Second Owner,171
Individual,Second Owner,172
Individual,First Owner,173
Individual,First Owner,174
Individual,First Owner,175
Individual,Second Owner,176
Individual,First Owner,177
Individual,Second Owner,178
